article_id,title,publication_date,publication_year,type,author_type,queried_author,general_h_index,general_i10_index,author_position,is_corresponding_author,n_authors,journal_display_name,journal_publisher,is_oa,oa_status,primary_topic,topic_subfield,topic_field,topic_domain,top_concepts,keywords,sdgs,total_citations,percentile_min,percentile_max,citation_norm_percentile,n_references,citations_year_6,citations_year_5,citations_year_4,citations_year_3,citations_year_2,citations_year_1,citations_year_0,citations_year_8,citations_year_7,author_total_citations
https://openalex.org/W2952918888,Leveraging biological insight and environmental variation to improve phenotypic prediction: Integrating crop growth models (CGM) with whole genome prediction (WGP),2018-02-01,2018,article,Target_author,Messina,53,97,first,True,6,European Journal of Agronomy,Elsevier BV,False,closed,Genetics and Plant Breeding,Plant Science,Agricultural and Biological Sciences,Life Sciences,"['Bayesian probability', 'Predictive modelling', 'Computer science', 'Best linear unbiased prediction', 'Gibbs sampling']","['Bayesian probability', 'Predictive modelling', 'Computer science', 'Best linear unbiased prediction', 'Gibbs sampling', 'Machine learning', 'Data mining', 'Selection (genetic algorithm)', 'Artificial intelligence']",['Zero hunger'],217,90.0,100.0,0.99608472,78,23.0,29.0,42.0,32.0,23.0,12.0,9.0,9.0,37.0,3276
https://openalex.org/W4210763428,Using soil library hyperspectral reflectance and machine learning to predict soil organic carbon: Assessing potential of airborne and spaceborne optical soil sensing,2022-02-02,2022,article,Target_author,Kaiyu,69,156,middle,True,10,Remote Sensing of Environment,Elsevier BV,True,green,Soil Geostatistics and Mapping,Environmental Engineering,Environmental Science,Physical Sciences,"['Hyperspectral imaging', 'Environmental science', 'Remote sensing', 'Soil carbon', 'Mean squared error']","['Hyperspectral imaging', 'Environmental science', 'Remote sensing', 'Soil carbon', 'Mean squared error', 'Atmospheric radiative transfer codes', 'Soil water', 'Imaging spectrometer', 'Partial least squares regression', 'Coefficient of determination', 'Soil science', 'Radiative transfer', 'Computer science', 'Machine learning', 'Geology', 'Mathematics', 'Spectrometer']",['Life in Land'],212,99.0,100.0,0.99814023,101,,,14.0,77.0,61.0,40.0,20.0,,,10358
https://openalex.org/W2804612942,New Insights into Soybean Biological Nitrogen Fixation,2018-05-25,2018,article,Target_author,Ciampitti,58,219,first,True,2,Agronomy Journal,Wiley,True,hybrid,Legume Nitrogen Fixing Symbiosis,Plant Science,Agricultural and Biological Sciences,Life Sciences,"['Nitrogen fixation', 'Fixation (population genetics)', 'Nitrogen', 'Agronomy', 'Fertilizer']","['Nitrogen fixation', 'Fixation (population genetics)', 'Nitrogen', 'Agronomy', 'Fertilizer', 'Crop yield', 'Chemistry', 'Biology', 'Biochemistry']",[],211,96.0,100.0,0.99611168,99,33.0,28.0,39.0,34.0,25.0,15.0,3.0,9.0,25.0,7582
https://openalex.org/W2789411445,"Sun‐Induced Chlorophyll Fluorescence, Photosynthesis, and Light Use Efficiency of a Soybean Field from Seasonally Continuous Measurements",2018-01-30,2018,article,Target_author,Kaiyu,69,156,middle,True,13,Journal of Geophysical Research Biogeosciences,Wiley,True,green,Plant Water Relations and Carbon Dynamics,Global and Planetary Change,Environmental Science,Physical Sciences,"['Photosynthetically active radiation', 'Eddy covariance', 'Chlorophyll fluorescence', 'Atmospheric sciences', 'Primary production']","['Photosynthetically active radiation', 'Eddy covariance', 'Chlorophyll fluorescence', 'Atmospheric sciences', 'Primary production', 'Photosynthesis', 'Growing season', 'Canopy', 'Environmental science', 'Ecosystem', 'Field experiment', 'Mathematics', 'Physics', 'Botany', 'Ecology', 'Biology', 'Statistics']",['Zero hunger'],210,99.0,100.0,0.99394648,72,24.0,21.0,32.0,33.0,29.0,25.0,7.0,6.0,33.0,10358
https://openalex.org/W2977809484,Approaches to improve soil fertility in sub-Saharan Africa,2019-10-03,2019,article,Target_author,Vara Prasad,93,359,last,True,4,Journal of Experimental Botany,Oxford University Press,True,bronze,Soil Carbon and Nitrogen Dynamics,Soil Science,Agricultural and Biological Sciences,Life Sciences,"['Soil fertility', 'Agriculture', 'Livelihood', 'Soil quality', 'Environmental resource management']","['Soil fertility', 'Agriculture', 'Livelihood', 'Soil quality', 'Environmental resource management', 'Capacity building', 'Environmental planning', 'Business', 'Natural resource', 'Agroforestry', 'Geography', 'Natural resource economics', 'Environmental science', 'Economic growth', 'Ecology', 'Economics', 'Biology']",['Zero hunger'],200,90.0,100.0,0.99373212,45,26.0,45.0,42.0,25.0,33.0,15.0,1.0,,13.0,13299
https://openalex.org/W3120007553,"Eyes in the Sky, Boots on the Ground: Assessing Satellite‐ and Ground‐Based Approaches to Crop Yield Measurement and Analysis",2019-08-22,2019,article,Target_author,Lobell,112,269,first,True,7,American Journal of Agricultural Economics,Wiley,True,green,Land Use and Ecosystem Services,Global and Planetary Change,Environmental Science,Physical Sciences,"['Yield (engineering)', 'Crop yield', 'Crop', 'Plot (graphics)', 'Agriculture']","['Yield (engineering)', 'Crop yield', 'Crop', 'Plot (graphics)', 'Agriculture', 'Environmental science', 'Satellite', 'Productivity', 'Agricultural engineering', 'Production (economics)', 'Mathematics', 'Agronomy', 'Geography', 'Statistics', 'Economics', 'Forestry', 'Engineering']",['Zero hunger'],187,90.0,100.0,0.98736377,30,37.0,37.0,31.0,25.0,30.0,15.0,4.0,,7.0,8518
https://openalex.org/W4205766186,"Climate and agronomy, not genetics, underpin recent maize yield gains in favorable environments",2022-01-18,2022,article,Target_author,Grassini,56,106,last,True,6,Proceedings of the National Academy of Sciences,National Academy of Sciences,True,hybrid,Crop Yield and Soil Fertility,Agronomy and Crop Science,Agricultural and Biological Sciences,Life Sciences,"['Agronomy', 'Yield (engineering)', 'Climate change', 'Environmental science', 'Biology']","['Agronomy', 'Yield (engineering)', 'Climate change', 'Environmental science', 'Biology', 'Biotechnology', 'Ecology', 'Materials science']",['Zero hunger'],182,99.0,100.0,0.99951224,55,,,14.0,47.0,53.0,44.0,24.0,,,3977
https://openalex.org/W3008267992,Redefining droughts for the U.S. Corn Belt: The dominant role of atmospheric vapor pressure deficit over soil moisture in regulating stomatal behavior of Maize and Soybean,2020-02-21,2020,article,Target_author,Kaiyu,69,156,middle,True,8,Agricultural and Forest Meteorology,Elsevier BV,True,bronze,Plant Water Relations and Carbon Dynamics,Global and Planetary Change,Environmental Science,Physical Sciences,"['Vapour Pressure Deficit', 'Eddy covariance', 'Environmental science', 'Water content', 'Canopy conductance']","['Vapour Pressure Deficit', 'Eddy covariance', 'Environmental science', 'Water content', 'Canopy conductance', 'Soil water', 'Agronomy', 'Stomatal conductance', 'Biometeorology', 'Precipitation', 'Atmospheric sciences', 'Transpiration', 'Canopy', 'Ecosystem', 'Soil science', 'Geography', 'Ecology', 'Meteorology', 'Chemistry', 'Photosynthesis']",[],176,97.0,100.0,0.98854003,72,8.0,30.0,34.0,31.0,43.0,26.0,4.0,,,10358
https://openalex.org/W2978862405,Sustainable intensification of agricultural drainage,2019-10-07,2019,article,Target_author,Castellano,48,95,first,True,5,Nature Sustainability,Nature Portfolio,False,closed,Soil and Water Nutrient Dynamics,Environmental Chemistry,Environmental Science,Physical Sciences,"['Drainage', 'Environmental science', 'Agriculture', 'Greenhouse gas', 'Sustainable agriculture']","['Drainage', 'Environmental science', 'Agriculture', 'Greenhouse gas', 'Sustainable agriculture', 'Nutrient', 'Ecology']",['Zero hunger'],174,96.0,100.0,0.99026489,54,31.0,34.0,29.0,32.0,27.0,12.0,3.0,,5.0,3569
https://openalex.org/W3009047590,Production of biofuels from sorghum,2020-03-04,2020,article,Target_author,Vara Prasad,93,359,last,True,10,Renewable and Sustainable Energy Reviews,Elsevier BV,False,closed,Biofuel production and bioconversion,Biomedical Engineering,Engineering,Physical Sciences,"['Biofuel', 'Bioenergy', 'Sweet sorghum', 'Biomass (ecology)', 'Biorefinery']","['Biofuel', 'Bioenergy', 'Sweet sorghum', 'Biomass (ecology)', 'Biorefinery', 'Sorghum', 'Environmental science', 'Biodiesel', 'Bioproducts', 'Energy crop', 'Biohydrogen', 'Biotechnology', 'Agronomy', 'Chemistry', 'Biology', 'Hydrogen production']",[],165,96.0,100.0,0.9857227,203,7.0,29.0,31.0,35.0,33.0,27.0,3.0,,,13299
https://openalex.org/W3000336815,Predicting crop yields and soil‐plant nitrogen dynamics in the US Corn Belt,2020-01-11,2020,article,Target_author,Archontoulis,53,121,first,True,25,Crop Science,Wiley,True,hybrid,Climate change impacts on agriculture,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences,"['Phenology', 'Sowing', 'Growing season', 'Precipitation', 'Environmental science']","['Phenology', 'Sowing', 'Growing season', 'Precipitation', 'Environmental science', 'Agronomy', 'Soil water', 'Water content', 'Biomass (ecology)', 'Yield (engineering)', 'Hydrology (agriculture)', 'Mathematics', 'Soil science', 'Biology', 'Meteorology', 'Geography']",['Zero hunger'],163,99.0,100.0,0.99863764,73,8.0,21.0,29.0,25.0,37.0,26.0,17.0,,,5318
https://openalex.org/W2915119646,Can ratoon cropping improve resource use efficiencies and profitability of rice in central China?,2019-02-18,2019,article,Target_author,Grassini,56,106,last,True,5,Field Crops Research,Elsevier BV,True,hybrid,Rice Cultivation and Yield Improvement,Plant Science,Agricultural and Biological Sciences,Life Sciences,"['Environmental science', 'Cropping', 'Energy balance', 'Cropping system', 'Agricultural science']","['Environmental science', 'Cropping', 'Energy balance', 'Cropping system', 'Agricultural science', 'Agriculture', 'Productivity', 'Agricultural economics', 'Profit (economics)', 'Food security', 'Net profit', 'Mathematics', 'Agricultural engineering', 'Agronomy', 'Crop', 'Economics', 'Biology', 'Ecology']",[],158,94.0,100.0,0.99304909,38,25.0,27.0,29.0,31.0,25.0,8.0,2.0,,10.0,3977
https://openalex.org/W3017707823,Assessing the benefit of satellite-based Solar-Induced Chlorophyll Fluorescence in crop yield prediction,2020-04-22,2020,article,Target_author,Kaiyu,69,156,middle,True,8,International Journal of Applied Earth Observation and Geoinformation,Elsevier BV,True,gold,Remote Sensing in Agriculture,Ecology,Environmental Science,Physical Sciences,"['Satellite', 'Normalized Difference Vegetation Index', 'Remote sensing', 'Environmental science', 'Vegetation (pathology)']","['Satellite', 'Normalized Difference Vegetation Index', 'Remote sensing', 'Environmental science', 'Vegetation (pathology)', 'Yield (engineering)', 'Enhanced vegetation index', 'Chlorophyll fluorescence', 'Crop yield', 'Leaf area index', 'Atmospheric sciences', 'Meteorology', 'Chlorophyll', 'Geography', 'Vegetation Index', 'Agronomy', 'Chemistry', 'Materials science', 'Physics']",['Zero hunger'],158,98.0,100.0,0.99409484,80,5.0,31.0,31.0,33.0,34.0,17.0,7.0,,,10358
https://openalex.org/W3017707823,Assessing the benefit of satellite-based Solar-Induced Chlorophyll Fluorescence in crop yield prediction,2020-04-22,2020,article,Target_author,Peng,40,71,first,True,8,International Journal of Applied Earth Observation and Geoinformation,Elsevier BV,True,gold,Remote Sensing in Agriculture,Ecology,Environmental Science,Physical Sciences,"['Satellite', 'Normalized Difference Vegetation Index', 'Remote sensing', 'Environmental science', 'Vegetation (pathology)']","['Satellite', 'Normalized Difference Vegetation Index', 'Remote sensing', 'Environmental science', 'Vegetation (pathology)', 'Yield (engineering)', 'Enhanced vegetation index', 'Chlorophyll fluorescence', 'Crop yield', 'Leaf area index', 'Atmospheric sciences', 'Meteorology', 'Chlorophyll', 'Geography', 'Vegetation Index', 'Agronomy', 'Chemistry', 'Materials science', 'Physics']",['Zero hunger'],158,98.0,100.0,0.99409484,80,5.0,31.0,31.0,33.0,34.0,17.0,7.0,,,4976
https://openalex.org/W3094673151,Changes in the drought sensitivity of US maize yields,2020-10-26,2020,article,Target_author,Lobell,112,269,first,True,3,Nature Food,Nature Portfolio,False,closed,Climate change impacts on agriculture,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences,"['Environmental science', 'Agriculture', 'Sensitivity (control systems)', 'Yield (engineering)', 'Climate change']","['Environmental science', 'Agriculture', 'Sensitivity (control systems)', 'Yield (engineering)', 'Climate change', 'Agronomy', 'Crop', 'Drought tolerance', 'Crop yield', 'Agricultural engineering', 'Agroforestry', 'Ecology', 'Biology']",[],153,94.0,100.0,0.99699502,59,9.0,37.0,34.0,27.0,30.0,14.0,2.0,,,8518
https://openalex.org/W2920920494,Assessing Variation in US Soybean Seed Composition (Protein and Oil),2019-03-11,2019,article,Target_author,Ciampitti,58,219,last,True,22,Frontiers in Plant Science,Frontiers Media,True,gold,Soybean genetics and cultivation,Plant Science,Agricultural and Biological Sciences,Life Sciences,"['Composition (language)', 'Yield (engineering)', 'Sowing', 'Fertilizer', 'Agronomy']","['Composition (language)', 'Yield (engineering)', 'Sowing', 'Fertilizer', 'Agronomy', 'Crop', 'Animal science', 'Nutrient', 'Chemical composition', 'Biology', 'Chemistry', 'Ecology']",['Zero hunger'],152,98.0,100.0,0.99566816,53,20.0,18.0,29.0,41.0,26.0,8.0,5.0,,5.0,7582
https://openalex.org/W4308554499,Recent cover crop adoption is associated with small maize and soybean yield losses in the United States,2022-11-08,2022,article,Target_author,Lobell,112,269,last,True,7,Global Change Biology,Wiley,True,hybrid,Soil Carbon and Nitrogen Dynamics,Soil Science,Agricultural and Biological Sciences,Life Sciences,"['Cover crop', 'Environmental science', 'Crop yield', 'Agronomy', 'Cropping']","['Cover crop', 'Environmental science', 'Crop yield', 'Agronomy', 'Cropping', 'Agriculture', 'Growing season', 'Cropping system', 'Yield (engineering)', 'Crop', 'Agroforestry', 'Biology', 'Ecology']",[],149,96.0,100.0,0.99643215,51,,,13.0,59.0,46.0,28.0,3.0,,,8518
https://openalex.org/W3154794875,Addressing Research Bottlenecks to Crop Productivity,2021-04-20,2021,review,Target_author,Messina,53,97,middle,True,17,Trends in Plant Science,Elsevier BV,True,bronze,Genetics and Plant Breeding,Plant Science,Agricultural and Biological Sciences,Life Sciences,"['Phenomics', 'Biology', 'Biotechnology', 'Crop yield', 'Agroforestry']","['Phenomics', 'Biology', 'Biotechnology', 'Crop yield', 'Agroforestry', 'Genomics', 'Agronomy']",[],144,99.0,100.0,0.99619681,229,,8.0,32.0,22.0,25.0,39.0,18.0,,,3276
https://openalex.org/W3009537711,Winter Wheat Yield Response to Plant Density as a Function of Yield Environment and Tillering Potential: A Review and Field Studies,2020-03-05,2020,review,Target_author,Ciampitti,58,219,last,True,14,Frontiers in Plant Science,Frontiers Media,True,gold,Crop Yield and Soil Fertility,Agronomy and Crop Science,Agricultural and Biological Sciences,Life Sciences,"['Yield (engineering)', 'Plant density', 'Agronomy', 'Grain yield', 'Field experiment']","['Yield (engineering)', 'Plant density', 'Agronomy', 'Grain yield', 'Field experiment', 'Canopy', 'Crop yield', 'Interaction', 'Mathematics', 'Biology', 'Botany', 'Materials science']",[],138,98.0,100.0,0.99747376,64,4.0,26.0,27.0,29.0,22.0,24.0,6.0,,,7582
https://openalex.org/W2790628032,Predicting spatial patterns of within-field crop yield variability,2018-02-05,2018,article,Target_author,Basso,70,193,last,True,2,Field Crops Research,Elsevier BV,False,closed,Remote Sensing in Agriculture,Ecology,Environmental Science,Physical Sciences,"['Spatial ecology', 'Spatial variability', 'Yield (engineering)', 'Growing season', 'Field (mathematics)']","['Spatial ecology', 'Spatial variability', 'Yield (engineering)', 'Growing season', 'Field (mathematics)', 'Remote sensing', 'Normalized Difference Vegetation Index', 'Geospatial analysis', 'Image resolution', 'Environmental science', 'Crop', 'Common spatial pattern', 'Scale (ratio)', 'Precision agriculture', 'Spatial analysis', 'Crop yield', 'Agriculture', 'Geography', 'Cartography', 'Statistics', 'Mathematics', 'Agronomy', 'Computer science', 'Ecology', 'Leaf area index']",[],133,97.0,100.0,0.98778119,19,14.0,21.0,13.0,24.0,15.0,12.0,4.0,8.0,22.0,5518
https://openalex.org/W2997248273,Deriving high-spatiotemporal-resolution leaf area index for agroecosystems in the U.S. Corn Belt using Planet Labs CubeSat and STAIR fusion data,2020-01-02,2020,article,Target_author,Kaiyu,69,156,middle,True,11,Remote Sensing of Environment,Elsevier BV,True,bronze,Remote Sensing in Agriculture,Ecology,Environmental Science,Physical Sciences,"['Leaf area index', 'Remote sensing', 'CubeSat', 'Mean squared error', 'Ground truth']","['Leaf area index', 'Remote sensing', 'CubeSat', 'Mean squared error', 'Ground truth', 'Environmental science', 'Atmospheric radiative transfer codes', 'Satellite', 'Radiative transfer', 'Computer science', 'Mathematics', 'Geography', 'Statistics', 'Physics']",['Zero hunger'],133,99.0,100.0,0.99315433,71,7.0,16.0,25.0,24.0,22.0,28.0,11.0,,,10358
https://openalex.org/W2804526550,"STAIR: A generic and fully-automated method to fuse multiple sources of optical satellite data to generate a high-resolution, daily and cloud-/gap-free surface reflectance product",2018-05-25,2018,article,Target_author,Kaiyu,69,156,middle,True,3,Remote Sensing of Environment,Elsevier BV,False,closed,Remote Sensing in Agriculture,Ecology,Environmental Science,Physical Sciences,"['Fuse (electrical)', 'Remote sensing', 'Satellite', 'Cloud computing', 'Reflectivity']","['Fuse (electrical)', 'Remote sensing', 'Satellite', 'Cloud computing', 'Reflectivity', 'Computer science', 'High resolution', 'Environmental science', 'Optics', 'Geology', 'Physics', 'Aerospace engineering', 'Engineering']",['Sustainable cities and communities'],127,90.0,100.0,0.98171159,44,20.0,20.0,24.0,18.0,20.0,6.0,1.0,6.0,12.0,10358
https://openalex.org/W2915536774,Toward building a transparent statistical model for improving crop yield prediction: Modeling rainfed corn in the U.S,2019-02-18,2019,article,Target_author,Kaiyu,69,156,middle,True,7,Field Crops Research,Elsevier BV,False,closed,Climate change impacts on agriculture,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences,"['Crop yield', 'Yield (engineering)', 'Mean squared error', 'Statistical model', 'Vegetation (pathology)']","['Crop yield', 'Yield (engineering)', 'Mean squared error', 'Statistical model', 'Vegetation (pathology)', 'Environmental science', 'Mathematics', 'Climate change', 'Scale (ratio)', 'Agriculture', 'Precipitation', 'Climate model', 'Statistics', 'Agricultural engineering', 'Meteorology', 'Agronomy', 'Geography', 'Ecology']",['Climate action'],127,97.0,100.0,0.99686476,55,16.0,22.0,14.0,28.0,25.0,12.0,4.0,,6.0,10358
https://openalex.org/W2939637759,Yield stability analysis reveals sources of large-scale nitrogen loss from the US Midwest,2019-04-08,2019,article,Target_author,Basso,70,193,first,True,4,Scientific Reports,Nature Portfolio,True,gold,Soil Carbon and Nitrogen Dynamics,Soil Science,Agricultural and Biological Sciences,Life Sciences,"['Yield (engineering)', 'Fertilizer', 'Nitrogen', 'Cropping', 'Crop']","['Yield (engineering)', 'Fertilizer', 'Nitrogen', 'Cropping', 'Crop', 'Agriculture', 'Environmental science', 'Cropping system', 'Crop yield', 'Agronomy', 'Mathematics', 'Biology', 'Chemistry', 'Ecology', 'Physics']",['Zero hunger'],127,98.0,100.0,0.9918812,53,17.0,21.0,19.0,17.0,28.0,17.0,5.0,,3.0,5518
https://openalex.org/W3132118949,Smallholder farmer perceptions about the impact of COVID-19 on agriculture and livelihoods in Senegal,2021-02-15,2021,article,Target_author,Vara Prasad,93,359,last,True,6,Agricultural Systems,Elsevier BV,True,green,COVID-19 Pandemic Impacts,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,"['Livelihood', 'Agriculture', 'Food security', 'Cropping', 'Agroecology']","['Livelihood', 'Agriculture', 'Food security', 'Cropping', 'Agroecology', 'Livestock', 'Productivity', 'Business', 'Poverty', 'Agricultural economics', 'Geography', 'Socioeconomics', 'Economic growth', 'Economics']",['No poverty'],121,99.0,100.0,0.99564665,12,,2.0,12.0,50.0,17.0,22.0,18.0,,,13299
